"name_with_owner","author","message","is_core"
"postmanlabs/postman-docs","akinard-postman","Update src/pages/docs/collaborating-in-postman/private-api-network/private-network-requests.md

Apply suggestion.

Co-authored-by: MatthewPinsker <108359042+MatthewPinsker-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","akinard-postman","Updates for 9-23 maintenance cycle",0
"postmanlabs/postman-docs","akinard-postman","Apply suggested updates",0
"weaviate/weaviate","asdine","rename feature flag",0
"postmanlabs/postman-docs","akinard-postman","Merge branch 'develop' into TW-1309-update-api-keys-settings-section",0
"weaviate/weaviate","aliszka","Merge pull request #3087 from weaviate/fix_timestamps_filtering

Fixes internal timestamps filtering by valueDate",0
"archesproject/arches","johnatawnclementawn","Merge branch '9346_radio_widget_accessible' into 9349_switch_widget_accessible",0
"netbox-community/netbox","jeremystretch","Correct example default dashboard config",1
"netbox-community/netbox","jeremystretch","Fixes #13782: Fix tag exclusion support for contact assignments",1
"netbox-community/netbox","jeremystretch","#12589: Move username validation from form to NetBoxUser",1
"archesproject/arches","atapscott","Use I18n for mapping file export #9680",0
"archesproject/arches","apeters","Merge pull request #9714 from archesproject/9670_improve_bulk_load_performance

Improve bulk load performance, #9670",1
"PhantomBot/PhantomBot","gmt2001","Fix rawtype",1
"archesproject/arches","apeters","Merge branch 'dev/7.4.x' into accessibility",1
"xamarin/xamarin-macios","akoeplinger","Convert XHarness.Tests from packages.config to PackageReference and add darc dependency (#18611)

Also needed a few tweaks to fix build errors that were introduced
recently.

---------

Co-authored-by: Manuel de la Pena <mandel@microsoft.com>",1
"netbox-community/netbox","abhi1693","add color to ChangeActionChoices #12828",0
"xamarin/xamarin-macios","mandel-macaque","[UIKit] Fix UIKit selector on TvOS (#18617)

This API was missed because the old sim intro tests are not running and
we missed it. This was found while working on xcode15. The tvOS attr is
missing which defaults to the min version of tvOS when it should be 15.

Added a compat implementation so that the API remains.

---------

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: Rolf Bjarne Kvinge <rolf@xamarin.com>",1
"lvgl/lvgl","bjsylvia","feat(theme): avoid reinitializing the default theme (#4500)

Signed-off-by: YanXiaowei <yanxiaowei@xiaomi.com>
Co-authored-by: YanXiaowei <yanxiaowei@xiaomi.com>",0
"weaviate/weaviate","trengrj","Do not assume node is out of bounds in deserializer",0
"weaviate/weaviate","donomii","Regenerate reformat",0
"weaviate/weaviate","donomii","Catch all panics and return empty tracker",0
"weaviate/weaviate","reyreaud-l","add node mapping backup and restore to gcs module

Signed-off-by: Loic Reyreaud <loic@weaviate.io>",0
"postmanlabs/postman-docs","petewitcher-postman","Updated screenshots",0
"weaviate/weaviate","abdelr","Merge branch 'PQ_with_rescoring' of https://github.com/weaviate/weaviate into PQ_with_rescoring",0
"weaviate/weaviate","aliszka","adds MT batch tests",0
"netbox-community/netbox","abhi1693","adds import button on the contact assignment table #13669",0
"nextcloud/polls","dartcafe","Merge branch 'master' of https://github.com/nextcloud/polls
Signed-off-by: dartcafe <github@dartcafe.de>",1
"nextcloud/polls","dartcafe","remove registration dialog padding adjustment

Signed-off-by: dartcafe <github@dartcafe.de>",1
"nextcloud/polls","dartcafe","remove beckground colors for check states inputDiv

Signed-off-by: dartcafe <github@dartcafe.de>",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-954-oauth-customization",1
"weaviate/weaviate","antas-marcin","Merge remote-tracking branch 'origin/stable/v1.19'",1
"pingcap/docs","ran-huang","Update tidb-resource-control.md (#15057)",1
"weaviate/weaviate","abdelr","connecting to search.go",0
"postmanlabs/postman-docs","petewitcher-postman","Merge branch 'develop' into TW-1109",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/reports/billing-overview-reports.md

Co-authored-by: Jonathan Konrath <80709817+jkonrath-postman@users.noreply.github.com>",0
"lvgl/lvgl","zephyr-zhu","fix(cmake): fix issue of cmake generating header files (#4557)

Signed-off-by: zephyrZhu <zenghui_zhu@126.com>",0
"netbox-community/netbox","abhi1693","updates ldap doc for centos #12447",0
"netbox-community/netbox","abhi1693","clear all cache when lazy is not used #13544",0
"netbox-community/netbox","DanSheps","Fixes #11209 - Fix PrefixIPAddress view with saved sort preferences (#12820)

* Fixes #11209 - Do not add available ips when IPAddressTable sort preferences are saved

* Refine check to account scenario right after clearing ordering string

* Introduce get_table_ordering() utility to determine intended ordering given a request

* Apply fix to VLAN ranges as well

---------

Co-authored-by: Jeremy Stretch <jstretch@netboxlabs.com>",1
"netbox-community/netbox","jeremystretch","Closes #13080: Differentiate more clearly between old and new version placeholders in upgrade guide",1
"netbox-community/netbox","jeremystretch","Changelog for #13669, #13723, #13743, #13951, #14033, #14101, #14112, #14113, #14220, #14220",1
"netbox-community/netbox","abhi1693","Adds tooltip on custom field (#12505)

* adds tooltip on custom field #12131

* adds description field check

* fixed field name

* updated code to match the panel

* added escape filter on description",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1094-change-email-address",0
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'tw-1123-schema-validation' of https://github.com/postmanlabs/postman-docs into tw-1123-schema-validation",1
"weaviate/weaviate","etiennedi","add e2e tests and fix remaining bugs",1
"xamarin/xamarin-macios","mandel-macaque","[Mtouch] Ignore warning about duplicated libs.",1
"pingcap/docs","ran-huang","ticdc: delete useless contents  (#15272)",1
"weaviate/weaviate","abdelr","fixing test",0
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"archesproject/arches","johnatawnclementawn","nits #9341",0
"archesproject/arches","johnatawnclementawn","Attach labels to input elements #9344",0
"postmanlabs/postman-docs","akinard-postman","Update path at line 500.",0
"weaviate/weaviate","asdine","Fix various race conditions in restoreFromDisk",0
"postmanlabs/postman-docs","akinard-postman","Apply spacing suggestions and refresh integration page image.",0
"postmanlabs/postman-docs","nerminamiller-postman","Update src/pages/docs/collections/running-collections/working-with-data-files.md

Co-authored-by: Mark Anthony <87772944+mark-anthony-postman@users.noreply.github.com>",0
"PhantomBot/PhantomBot","gmt2001","Fix Linux logged launcher",1
"lvgl/lvgl","kisvegabor","fix(display): fix screen loading with zero time",1
"postmanlabs/postman-docs","mark-anthony-postman","Add table of contents",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1256-new-relic-import",1
"archesproject/arches","chrabyrd","nit #9590",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #4689 from postmanlabs/tw-1023-sunset-legacy-github-aws-integrations

[TW-1023] Doc sunset of deprecated GitHub and AWS API Gateway integrations",1
"postmanlabs/postman-docs","mark-anthony-postman","Add alt text to video tag",1
"postmanlabs/postman-docs","mark-anthony-postman","Update date",1
"PhantomBot/PhantomBot","gmt2001","Fix isMod not directly using the IRCv3 tags
Fix isVIP not using the IRCv3 tags as specified in the spec",1
"PhantomBot/PhantomBot","gmt2001","Add GetLastBackoff",1
"PhantomBot/PhantomBot","gmt2001","Fix updates load order
Fix permission group loading in panel",1
"PhantomBot/PhantomBot","gmt2001","Add ability to get WsPanelHandler from PhantomBot in Java",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3411 from gmt2001/patch-707

Patch 707",1
"netbox-community/netbox","arthanson","12175 rack with starting unit > 1 (#12778)

* 12175 add rack starting unit

* 12175 rack starting unit to svg

* verify devices can still fit if change rack starting_unit

* 12175 fix migration

* 12175 fix typo and test

* 12175 fix test

* 12175 fix max height calc display

* Misc cleanup & fixes

---------

Co-authored-by: Jeremy Stretch <jstretch@netboxlabs.com>",0
"weaviate/weaviate","antas-marcin","Revert ""Create nonexistent tenants in batch by default (#3392)""

This reverts commit 2cfa32d3f7fa4bdc1436dd50a2e036ba56c1fa5a.",1
"postmanlabs/postman-docs","jkonrath-postman","Merge pull request #4854 from postmanlabs/TW-1143-CAK-Controls

 [TW-1143] Update around Collection Access Keys management",1
"archesproject/arches","apeters","refine null search for all all datatypes except strings, re #9302",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Claire's feedback

Co-authored-by: Claire Riley <claire@postman.com>",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-738-verified-teams",0
"weaviate/weaviate","tsmith023","Merge pull request #3654 from weaviate/fix/multi2vec-bind-with-text-array

add support for vectorizing `text[]` props in `multi2vec-bind`",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Update Postman API overview title in front matter",0
"xamarin/xamarin-macios","rolfbjarne","[net8.0] Merge main into net8.0.",1
"pingcap/docs","Oreoxmt","global sort is experimental in v7.4 (#15244)",0
"archesproject/arches","chiatt","Merge pull request #9793 from archesproject/9789-cbyrd-integrate-vue

Integrates Vue",1
"archesproject/arches","chiatt","Merge pull request #9660 from archesproject/dev/7.4.x

Update 7.5 with 7.4 latest",1
"netbox-community/netbox","jeremystretch","Changelog for #12380, #12395, #12396, #12405, #12412",1
"postmanlabs/postman-docs","akinard-postman","fix lint errors",0
"archesproject/arches","chrabyrd","nit #9629",1
"xamarin/xamarin-macios","haritha-mohan","[ScreenCaptureKit] Add support for Xcode 15 beta 8 (#18965)

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: Alex Soto <alex@soto.dev>
Co-authored-by: TJ Lambert <50846373+tj-devel709@users.noreply.github.com>",0
"postmanlabs/postman-docs","akinard-postman","Update Keen integration doc",0
"archesproject/arches","njkim","Merge branch 'dev/7.4.x' into 9366_update_edit_summary",1
"archesproject/arches","njkim","Add tile-excel template, #9920",1
"archesproject/arches","njkim","Merge branch 'bulk_data_manager_improvements' into 9925_excel_template_validation",1
"archesproject/arches","njkim","Refactor front-end excel exporter vm, #9892",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Add objects section, add more details to examples",0
"pingcap/docs","Oreoxmt","server recommendations: add a note for production environment (#15287)",0
"pingcap/docs","dveeden","Add deprecate-integer-display-length to TIDB Config (#14718)",1
"postmanlabs/postman-docs","mark-anthony-postman","Update web limitations",1
"weaviate/weaviate","tsmith023","change package names to preserve BC on old clients",0
"lvgl/lvgl","FASTSHIFT","fix(fragment): catch wrong instance_size (#4442)

Signed-off-by: pengyiqiang <pengyiqiang@xiaomi.com>
Co-authored-by: pengyiqiang <pengyiqiang@xiaomi.com>",1
"postmanlabs/postman-docs","MatthewPinsker-postman","You can't change visibility to personal",0
"archesproject/arches","chiatt","Merge pull request #9926 from archesproject/9858_fix_card_integrity_error

Fix race condition when saving cards in graph designer #9858",1
"archesproject/arches","chiatt","Merge pull request #9612 from archesproject/9591-cbyrd-fix-multiple-values-switch

resolves issue with 2 sets of save/discard buttons appearing in some edge cases #9591",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge pull request #4749 from postmanlabs/tw-1053-set-email-address-saml

[TW-1053] Update note on setting email address during config",0
"xamarin/xamarin-macios","rolfbjarne","[tools] Don't allow keeping the dynamic registrar when using NativeAOT.",1
"xamarin/xamarin-macios","rolfbjarne","[msbuild] Deduplicate code to create lists of TaskItems for each file in a directory recursively. (#19382)",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Updated gRPC screenshots, explained protocol menu",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1354-private-api-network-search-hotfix",0
"xamarin/xamarin-macios","rolfbjarne","[tests] Add support for specifying whether build properties should be specified on the command line or in a file. (#18814)

Some time ago we added a workaround for an msbuild bug that has since
been fixed (since the initial .NET 7 release). This workaround involved
writing build properties to a file instead of passing them on the
command line.

We no longer need the workaround, but it turnes out we still need to be
able to pass build properties in a file (because we have a test that
needs this behavior). We'll also soon run into a scenario where we need
to be able to specify a build property on the command line
(`TargetFrameworks`) - the build won't work if specified in a file.

So add support for both, and make the test that needs to specify the
build property on the command line say so explicitly.",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1113-update-postman-api-frontmatter",0
"weaviate/weaviate","asdine","load vectors at startup",0
"archesproject/arches","johnatawnclementawn","Merge branch '9340_edtf_widget_accessible' into 9341_file_widget_accessible",0
"weaviate/weaviate","aliszka","Merge pull request #3370 from weaviate/contains-any-all-filters

ContainsAny & ContainsAll Filter Operators",0
"archesproject/arches","johnatawnclementawn","Merge branch 'accessibility' into 9331_accessibility_for_authentication_pages",0
"archesproject/arches","jacobtylerwalls","Add missing space to row count footer",0
"postmanlabs/postman-docs","nerminamiller-postman","Update src/components/LeftNav/LeftNavItems.jsx",0
"weaviate/weaviate","antas-marcin","Merge pull request #3490 from weaviate/palm-support-new-models

generative-palm: Support new Google PaLM modules",1
"weaviate/weaviate","antas-marcin","Implement client",1
"postmanlabs/postman-docs","mark-anthony-postman","Update v9 deprecation note",1
"postmanlabs/postman-docs","mark-anthony-postman","Update data file format sections",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3400 from gmt2001/patch-701

Patch 701",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3202 from gmt2001/patch-631

Patch 631",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3207 from gmt2001/patch-636

Patch 636",1
"PhantomBot/PhantomBot","gmt2001","Updated the bot properties guide and json file",1
"PhantomBot/PhantomBot","gmt2001","Add ModuleVersion table/record",1
"PhantomBot/PhantomBot","gmt2001","Fix full update with re-follow",1
"archesproject/arches","njkim","Handle tuple of 1 member, #9366",1
"postmanlabs/postman-docs","claireriley","add API Testing",1
"postmanlabs/postman-docs","claireriley","update name",1
"lvgl/lvgl","eYoung8475","fix(dropdown): avoid partial match in lv_dropdown_get_option_index (#4598)",0
"archesproject/arches","SDScandrettKint","replacing / with - in create package",0
"postmanlabs/postman-docs","claireriley","add updates",1
"weaviate/weaviate","dirkkul","Make proto naming consistent",0
"postmanlabs/postman-docs","petewitcher-postman","First draft",0
"xamarin/xamarin-macios","dalexsoto","[sharpie] Bump Objective-Sharpie to v3.5.73",1
"PhantomBot/PhantomBot","gmt2001","Add jsDoc to stresstools",1
"PhantomBot/PhantomBot","gmt2001","Add MySQLStore2
closes gmt2001/PhantomBot-1#44",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3123 from gmt2001/patch-570

Fix ref",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3136 from PhantomBot/dependabot/github_actions/tj-actions/verify-changed-files-14

Bump tj-actions/verify-changed-files from 13 to 14",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3361 from gmt2001/patch-692

Patch-692",1
"PhantomBot/PhantomBot","gmt2001","Add disable/enablecom @all
Add listCommands and listSubCommands",1
"PhantomBot/PhantomBot","gmt2001","Updated the remote panel",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1117-collection-backup-integration-autosave",0
"PhantomBot/PhantomBot","gmt2001","Add JOOQ docs ref",1
"postmanlabs/postman-docs","mark-anthony-postman","Fix screenshot name",1
"postmanlabs/postman-docs","mark-anthony-postman","Update collection comment screenshots",1
"postmanlabs/postman-docs","mark-anthony-postman","Add section for v9 and v10 APIs",1
"postmanlabs/postman-docs","mark-anthony-postman","Add review feedback",1
"weaviate/weaviate","antas-marcin","Fix optional unmarshaling of object when dealing with large vector dimensions (up to 65k)",1
"xamarin/xamarin-macios","mandel-macaque","[CoreServices] Add support for Xcode 15. (#18919)",1
"weaviate/weaviate","dirkkul","Fix tests",0
"xamarin/xamarin-macios","mandel-macaque","[UIKit] Add missing attrs for catalyst. (#19355)

Fixes #19353",1
"xamarin/xamarin-macios","mandel-macaque","[Catalyst] Move to use ld64 over ld_prime linker.

Xcode15 added a new liner, ld_prime which has a number of bugs up to
xcode 15 beta4. We can fix this by fwd the ld64 flag to the linker which
allows to use the OLD ld64 linker over ld_primer until we have a fix
from apple.

Refereces:

Apple docs: https://developer.apple.com/forums/thread/715385
Bug: https://developer.apple.com/forums/thread/733317",1
"nextcloud/polls","nextcloud-bot","Fix(l10n): Update translations from Transifex

Signed-off-by: Nextcloud bot <bot@nextcloud.com>",1
"pingcap/docs","hfxsd","Revert ""roadmap: add v7.4.0 release notes"" (#14973)",1
"pingcap/docs","hfxsd","dumpling: add URI formats (#15165)",1
"xamarin/xamarin-macios","rolfbjarne","[devops] Skip installing workloads, not .NET itself, if .NET isn't enabled. (#19000)

Some of our tests (such as the MSBuild tests), are built with .NET, and thus
need some version of .NET installed to be buildable.

Note that in this case we don't need any workloads, so we still skip that part.",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1019-account-linking",0
"postmanlabs/postman-docs","MatthewPinsker-postman","Pete's feedback

Co-authored-by: Pete Witcher <107959588+petewitcher-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","mark-anthony-postman","Remove uptime monitor from Slack intro",1
"postmanlabs/postman-docs","mark-anthony-postman","Updating viewing metrics",1
"postmanlabs/postman-docs","mark-anthony-postman","Fix vale errors",1
"postmanlabs/postman-docs","mark-anthony-postman","Add screenshots",1
"PhantomBot/PhantomBot","gmt2001","Fix scope",1
"PhantomBot/PhantomBot","gmt2001","Convert FollowersCache to new API
Remove old fixfollowedtable command",1
"PhantomBot/PhantomBot","gmt2001","Fix connection pool exhaustion",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3174 from gmt2001/patch-611

Patch 611",1
"PhantomBot/PhantomBot","gmt2001","Fix session expiration
closes gmt2001/PhantomBot-1#237",1
"PhantomBot/PhantomBot","gmt2001","Add ability to exclude paths from Reflect#loadPackageRecursive",1
"PhantomBot/PhantomBot","gmt2001","Change load order to make TwitchCache and ViewerCache available sooner",1
"postmanlabs/postman-docs","nerminamiller-postman","Update src/pages/docs/live-insights/live-insights-gs.md

Co-authored-by: Jonathan Konrath <80709817+jkonrath-postman@users.noreply.github.com>",0
"lvgl/lvgl","kdschlosser","chore: removes unused function (#4449)",0
"lvgl/lvgl","FASTSHIFT","chore(libs/jpg): rename `lv_jpg` to `lv_tjpgd` (#4573)

Signed-off-by: pengyiqiang <pengyiqiang@xiaomi.com>
Co-authored-by: pengyiqiang <pengyiqiang@xiaomi.com>
Co-authored-by: Gabor Kiss-Vamosi <kisvegabor@gmail.com>",1
"postmanlabs/postman-docs","petewitcher-postman","Added Flows",0
"weaviate/weaviate","dirkkul","Increase GRPC msg max size",0
"archesproject/arches","aarongundel","address PR feedback.",1
"pingcap/docs","hfxsd","add snappy restriction note (#15241)",1
"weaviate/weaviate","redouan-rhazouani","Improve resilience of adding tenants by implementing commit and rollback mechanism (part 2) (#3057)",0
"netbox-community/netbox","jeremystretch","Fixes #11335: Default manager for ObjectChange should filter by installed apps (#11709)

* Fixes #11335: Default manager for ObjectChange should filter by installed apps

* Employ canonical model discovery mechanism

* Move filtering logic to valid_models() queryset method

* fixed import to avoid content type does not exist

* Cleanup

---------

Co-authored-by: Abhimanyu Saharan <desk.abhimanyu@gmail.com>",1
"weaviate/weaviate","donomii","Remove debugging",0
"archesproject/arches","chiatt","Merge branch 'dev/7.4.x' into 9585_map_layer_public_flag",1
"archesproject/arches","chiatt","Merge pull request #9479 from HistoricEngland/8010_restrict_export_by_group

Hide Search Export button by user group list #8010",1
"archesproject/arches","chiatt","Replace APP_VERSION_LABEL with APP_VERSION",1
"lvgl/lvgl","PGNetHun","chore: code and configs cleanups; add builtin cache tracing (#4593)",0
"archesproject/arches","chiatt","Merge pull request #9287 from archesproject/9285_fix_branch_excel_loader

9285 fix branch excel loader",1
"archesproject/arches","chiatt","Update to use add-to-project action",1
"netbox-community/netbox","jose-d","upgrading.md: there shouldbe OLDVER instead of NEWVER",0
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #4923 from postmanlabs/tw-1235-fix-newman-codeblock

[TW-1235] - Fix codeblock in Newman page",1
"archesproject/arches","chrabyrd","Merge branch 'dev/7.4.x' of https://github.com/archesproject/arches into 9590-cbyrd-better-error-messaging-duplicate-node-names",1
"netbox-community/netbox","arthanson","11305 Add GPS coordinates to device (#12782)

* 11305 add lat/long to devices

* 11305 update docs

* 11305 update tests",0
